Character name;Japanese text;English text
<PNAME>;（それじゃ、ゲームセンターで、伊集院さんを待つか。）;(I'll wait for Ijuin-san at the arcade then.)
<PNAME>;（それじゃ、ゲームセンターで、伊集院さんを待つか。）;(I'll wait for Ijuin-san at the arcade then.)
<PNAME>;（それじゃ、ボーリング場で、伊集院さんを待つか。）;(I'll wait for Ijuin-san at the bowling alley then.)
<PNAME>;（それじゃ、ボーリング場で、伊集院さんを待つか。）;(I'll wait for Ijuin-san at the bowling alley then.)
<PNAME>;（それじゃ、カラオケ屋で、伊集院さんを待つか。）;(I'll wait for Ijuin-san at the karaoke club then.)
<PNAME>;（それじゃ、カラオケ屋で、伊集院さんを待つか。）;(I'll wait for Ijuin-san at the karaoke club then.)
<PNAME>;（それじゃ、遊園地で、伊集院さんを待つか。）;(I'll wait for Ijuin-san at the amusement park then.)
<PNAME>;（それじゃ、遊園地で、伊集院さんを待つか。）;(I'll wait for Ijuin-san at the amusement park then.)
<PNAME>;（それじゃ、スタジアムで、伊集院さんを待つか。）;(I'll wait for Ijuin-san at the stadium then.)
<PNAME>;（それじゃ、スタジアムで、伊集院さんを待つか。）;(I'll wait for Ijuin-san at the stadium then.)
<PNAME>;（それじゃ、映画館で、伊集院さんを待つか。）;(I'll wait for Ijuin-san at the movie theater then.)
<PNAME>;（それじゃ、映画館で、伊集院さんを待つか。）;(I'll wait for Ijuin-san at the movie theater then.)
<PNAME>;（それじゃ、コンサート会場で、伊集院さんを待つか。）;(I'll wait for Ijuin-san at the concert hall then.)
<PNAME>;（それじゃ、コンサート会場で、伊集院さんを待つか。）;(I'll wait for Ijuin-san at the concert hall then.)
<PNAME>;（それじゃ、プールで、伊集院さんを待つか。）;(I'll wait for Ijuin-san at the pool then.)
<PNAME>;（それじゃ、プールで、伊集院さんを待つか。）;(I'll wait for Ijuin-san at the pool then.)
<PNAME>;（それじゃ、スケート場で、伊集院さんを待つか。）;(I'll wait for Ijuin-san at the skating rink then.)
<PNAME>;（それじゃ、スケート場で、伊集院さんを待つか。）;(I'll wait for Ijuin-san at the skating rink then.)
<PNAME>;（それじゃ、海で、伊集院さんを待つか。）;(I'll wait for Ijuin-san at the beach then.)
<PNAME>;（それじゃ、海で、伊集院さんを待つか。）;(I'll wait for Ijuin-san at the beach then.)
<PNAME>;（それじゃ、スキー場で、伊集院さんを待つか。）;(I'll wait for Ijuin-san at the ski resort then.)
<PNAME>;（それじゃ、スキー場で、伊集院さんを待つか。）;(I'll wait for Ijuin-san at the ski resort then.)
<PNAME>;（それじゃ、神社で、伊集院さんを待つか。）;(I'll wait for Ijuin-san at the shrine then.)
<PNAME>;（それじゃ、神社で、伊集院さんを待つか。）;(I'll wait for Ijuin-san at the shrine then.)
<PNAME>;（今日は、早乙女さんとデートだ）;(I have a date with Saotome-san today.)
<PNAME>;（今日は、早乙女さんとデートだ）;(I have a date with Saotome-san today.)
<PNAME>;『早乙女さんのことについて知りたいんだけど。;I'd like to know about Saotome-san.
<PNAME>;『よし、次は、早乙女とだ。;Alright, next is with Saotome.
<PNAME>;『しばらく早乙女さんと話し込んだ;(I talked with Saotome-san for a while.)
<PNAME>;『早乙女さんもいたのか。;Is Saotome-san here too?
<PNAME>;『あつ、今日は、早乙女さんの誕生日じゃないか。;Ah, isn't today Saotome-san's birthday?
<PNAME>;（もしかして、早乙女さんを知らず知らずのうちに傷つけてたのかな⋯。）;(Maybe I've hurt Saotome-san without realizing...)
<PNAME>;『今日の自由行動は、この前の約束通り早乙女さんと―緒だ。;Today, I'll spend my free time with Saotome-san, as promised.
<PNAME>;『まだ早乙女さんは、来ていないようだな。;I see Saotome-san hasn't arrived yet.
<PNAME>;（早乙女さんにプレゼントをもらえるなんて、おれは幸せ者だー！）;(I'm so lucky to get a present from Saotome-san!)
<PNAME>;（神様、何とぞ早乙女さんと今以上に仲良くなれますように。）;(God, please help me get to know Saotome-san even better.)
<PNAME>;（おつ、丁度いいところに早乙女さんが来たぞ。）;(Oh, Saotome-san arrived just in time.)
<PNAME>;（あつ、早乙女さん。）;(Oh, Saotome-san.)
<PNAME>;『よし、次は、早乙女さんとだ;Alright, next is with Saotome-san.
<PNAME>;『よし、次は、早乙女さんとだ。;Alright, next is with Saotome-san.
<PNAME>;（早乙女さんを、傷つけたといううわさが、流れてたそうだ。）;(There's a rumor going around that I hurt Saotome-san.)
<PNAME>;（どうやら好雄の話では、俺が早乙女さんを、傷つけたといううわさが、流れてたそうだ。）;(According to Yoshio, there's a rumor going around that I hurt Saotome-san.)
<PNAME>;（それじゃ、近所の公園で、早乙女さんを待つか。）;(I'll wait for Saotome-san at the neighborhood park then.)
<PNAME>;（それじゃ、近所の公園で、早乙女さんを待つか。）;(I'll wait for Saotome-san at the neighborhood park then.)
<PNAME>;（それじゃ、きらめき中央公園で、早乙女さんを待つか。）;(I'll wait for Saotome-san at Kirameki Central Park then.)
<PNAME>;（それじゃ、きらめき中央公園で、早乙女さんを待つか。）;(I'll wait for Saotome-san at Kirameki Central Park then.)
<PNAME>;（それじゃ、ショッピング街で、早乙女さんを待つか。）;(I'll wait for Saotome-san at the shopping district then.)
<PNAME>;（それじゃ、ショッピング街で、早乙女さんを待つか。）;(I'll wait for Saotome-san at the shopping district then.)
<PNAME>;（それじゃ、水族館で、早乙女さんを待つか。）;(I'll wait for Saotome-san at the aquarium then.)
<PNAME>;（それじゃ、水族館で、早乙女さんを待つか。）;(I'll wait for Saotome-san at the aquarium then.)
<PNAME>;（それじゃ、動物園で、早乙女さんを待つか。）;(I'll wait for Saotome-san at the zoo then.)
<PNAME>;（それじゃ、動物園で、早乙女さんを待つか。）;(I'll wait for Saotome-san at the zoo then.)
<PNAME>;（それじゃ、植物園で、早乙女さんを待つか。）;(I'll wait for Saotome-san at the botanical garden then.)
<PNAME>;（それじゃ、植物園で、早乙女さんを待つか。）;(I'll wait for Saotome-san at the botanical garden then.)
<PNAME>;（それじゃ、プラネタリウムで、早乙女さんを待つか。）;(I'll wait for Saotome-san at the planetarium then.)
<PNAME>;（それじゃ、プラネタリウムで、早乙女さんを待つか。）;(I'll wait for Saotome-san at the planetarium then.)
<PNAME>;（それじゃ、美術館で、早乙女さんを待つか。）;(I'll wait for Saotome-san at the art museum then.)
<PNAME>;（それじゃ、美術館で、早乙女さんを待つか。）;(I'll wait for Saotome-san at the art museum then.)
<PNAME>;（それじゃ、図書館で、早乙女さんを待つか。）;(I'll wait for Saotome-san at the library then.)
<PNAME>;（それじゃ、図書館で、早乙女さんを待つか。）;(I'll wait for Saotome-san at the library then.)
<PNAME>;（それじゃ、ゲームセンターで、早乙女さんを待つか。）;(I'll wait for Saotome-san at the arcade then.)
<PNAME>;（それじゃ、ゲームセンターで、早乙女さんを待つか。）;(I'll wait for Saotome-san at the arcade then.)
<PNAME>;（それじゃ、ボーリング場で、早乙女さんを待つか。）;(I'll wait for Saotome-san at the bowling alley then.)
<PNAME>;（それじゃ、ボーリング場で、早乙女さんを待つか。）;(I'll wait for Saotome-san at the bowling alley then.)
<PNAME>;（それじゃ、カラオケ屋で、早乙女さんを待つか。）;(I'll wait for Saotome-san at the karaoke club then.)
<PNAME>;（それじゃ、カラオケ屋で、早乙女さんを待つか。）;(I'll wait for Saotome-san at the karaoke club then.)
<PNAME>;（それじゃ、遊園地で、早乙女さんを待つか。）;(I'll wait for Saotome-san at the amusement park then.)
<PNAME>;（それじゃ、遊園地で、早乙女さんを待つか。）;(I'll wait for Saotome-san at the amusement park then.)
<PNAME>;（それじゃ、スタジアムで、早乙女さんを待つか。）;(I'll wait for Saotome-san at the stadium then.)
<PNAME>;（それじゃ、スタジアムで、早乙女さんを待つか。）;(I'll wait for Saotome-san at the stadium then.)
<PNAME>;（それじゃ、映画館で、早乙女さんを待つか。）;(I'll wait for Saotome-san at the movie theater then.)
<PNAME>;（それじゃ、映画館で、早乙女さんを待つか。）;(I'll wait for Saotome-san at the movie theater then.)
<PNAME>;（それじゃ、コンサート会場で、早乙女さんを待つか。）;(I'll wait for Saotome-san at the concert hall then.)
<PNAME>;（それじゃ、コンサート会場で、早乙女さんを待つか。）;(I'll wait for Saotome-san at the concert hall then.)
<PNAME>;（それじゃ、プールで、早乙女さんを待つか。）;(I'll wait for Saotome-san at the pool then.)
<PNAME>;（それじゃ、プールで、早乙女さんを待つか。）;(I'll wait for Saotome-san at the pool then.)
<PNAME>;（それじゃ、スケート場で、早乙女さんを待つか。）;(I'll wait for Saotome-san at the skating rink then.)
<PNAME>;（それじゃ、スケート場で、早乙女さんを待つか。）;(I'll wait for Saotome-san at the skating rink then.)
<PNAME>;（それじゃ、海で、早乙女さんを待つか。）;(I'll wait for Saotome-san at the beach then.)
<PNAME>;（それじゃ、海で、早乙女さんを待つか。）;(I'll wait for Saotome-san at the beach then.)
<PNAME>;（それじゃ、スキー場で、早乙女さんを待つか。）;(I'll wait for Saotome-san at the ski resort then.)
<PNAME>;（それじゃ、スキー場で、早乙女さんを待つか。）;(I'll wait for Saotome-san at the ski resort then.)
<PNAME>;（それじゃ、神社で、早乙女さんを待つか。）;(I'll wait for Saotome-san at the shrine then.)
<PNAME>;（それじゃ、神社で、早乙女さんを待つか。）;(I'll wait for Saotome-san at the shrine then.)
<PNAME>;（今日は、藤崎さんとデートだ）;(I have a date with Fujisaki-san today.)
<PNAME>;（今日は、藤崎さんとデートだ）;(I have a date with Fujisaki-san today.)
<PNAME>;『藤崎さんのことについて知りたいんだけど。;I'd like to know about Fujisaki-san.
<PNAME>;『よし、次は、藤崎とだ。;Alright, next is with Fujisaki.
<PNAME>;『しばらく藤崎さんと話し込んだ;(I talked with Fujisaki-san for a while.)
<PNAME>;『藤崎さんもいたのか。;Is Fujisaki-san here too?
<PNAME>;『あつ、今日は、藤崎さんの誕生日じゃないか。;Ah, isn't today Fujisaki-san's birthday?
<PNAME>;（もしかして、藤崎さんを知らず知らずのうちに傷つけてたのかな⋯。）;(Maybe I've hurt Fujisaki-san without realizing...)
<PNAME>;『今日の自由行動は、この前の約束通り藤崎さんと―緒だ。;Today, I'll spend my free time with Fujisaki-san, as promised.
<PNAME>;『まだ藤崎さんは、来ていないようだな。;I see Fujisaki-san hasn't arrived yet.
<PNAME>;（藤崎さんにプレゼントをもらえるなんて、おれは幸せ者だー！）;(I'm so lucky to get a present from Fujisaki-san!)
<PNAME>;（神様、何とぞ藤崎さんと今以上に仲良くなれますように。）;(God, please help me get to know Fujisaki-san even better.)
<PNAME>;（おつ、丁度いいところに藤崎さんが来たぞ。）;(Oh, Fujisaki-san arrived just in time.)
<PNAME>;（あつ、藤崎さん。）;(Oh, Fujisaki-san.)
<PNAME>;『よし、次は、藤崎さんとだ;Alright, next is with Fujisaki-san.
<PNAME>;『よし、次は、藤崎さんとだ。;Alright, next is with Fujisaki-san.
<PNAME>;（藤崎さんを、傷つけたといううわさが、流れてたそうだ。）;(There's a rumor going around that I hurt Fujisaki-san.)
<PNAME>;（どうやら好雄の話では、俺が藤崎さんを、傷つけたといううわさが、流れてたそうだ。）;(According to Yoshio, there's a rumor going around that I hurt Fujisaki-san.)
<PNAME>;（それじゃ、近所の公園で、藤崎さんを待つか。）;(I'll wait for Fujisaki-san at the neighborhood park then.)
<PNAME>;（それじゃ、近所の公園で、藤崎さんを待つか。）;(I'll wait for Fujisaki-san at the neighborhood park then.)
<PNAME>;（それじゃ、きらめき中央公園で、藤崎さんを待つか。）;(I'll wait for Fujisaki-san at Kirameki Central Park then.)
<PNAME>;（それじゃ、きらめき中央公園で、藤崎さんを待つか。）;(I'll wait for Fujisaki-san at Kirameki Central Park then.)
<PNAME>;（それじゃ、ショッピング街で、藤崎さんを待つか。）;(I'll wait for Fujisaki-san at the shopping district then.)
<PNAME>;（それじゃ、ショッピング街で、藤崎さんを待つか。）;(I'll wait for Fujisaki-san at the shopping district then.)
<PNAME>;（それじゃ、水族館で、藤崎さんを待つか。）;(I'll wait for Fujisaki-san at the aquarium then.)
<PNAME>;（それじゃ、水族館で、藤崎さんを待つか。）;(I'll wait for Fujisaki-san at the aquarium then.)
<PNAME>;（それじゃ、動物園で、藤崎さんを待つか。）;(I'll wait for Fujisaki-san at the zoo then.)
<PNAME>;（それじゃ、動物園で、藤崎さんを待つか。）;(I'll wait for Fujisaki-san at the zoo then.)
<PNAME>;（それじゃ、植物園で、藤崎さんを待つか。）;(I'll wait for Fujisaki-san at the botanical garden then.)
<PNAME>;（それじゃ、植物園で、藤崎さんを待つか。）;(I'll wait for Fujisaki-san at the botanical garden then.)
<PNAME>;（それじゃ、プラネタリウムで、藤崎さんを待つか。）;(I'll wait for Fujisaki-san at the planetarium then.)
<PNAME>;（それじゃ、プラネタリウムで、藤崎さんを待つか。）;(I'll wait for Fujisaki-san at the planetarium then.)
<PNAME>;（それじゃ、美術館で、藤崎さんを待つか。）;(I'll wait for Fujisaki-san at the art museum then.)
<PNAME>;（それじゃ、美術館で、藤崎さんを待つか。）;(I'll wait for Fujisaki-san at the art museum then.)
<PNAME>;（それじゃ、図書館で、藤崎さんを待つか。）;(I'll wait for Fujisaki-san at the library then.)
<PNAME>;（それじゃ、図書館で、藤崎さんを待つか。）;(I'll wait for Fujisaki-san at the library then.)
<PNAME>;（それじゃ、ゲームセンターで、藤崎さんを待つか。）;(I'll wait for Fujisaki-san at the arcade then.)
<PNAME>;（それじゃ、ゲームセンターで、藤崎さんを待つか。）;(I'll wait for Fujisaki-san at the arcade then.)
<PNAME>;（それじゃ、ボーリング場で、藤崎さんを待つか。）;(I'll wait for Fujisaki-san at the bowling alley then.)
<PNAME>;（それじゃ、ボーリング場で、藤崎さんを待つか。）;(I'll wait for Fujisaki-san at the bowling alley then.)
<PNAME>;（それじゃ、カラオケ屋で、藤崎さんを待つか。）;(I'll wait for Fujisaki-san at the karaoke club then.)
<PNAME>;（それじゃ、カラオケ屋で、藤崎さんを待つか。）;(I'll wait for Fujisaki-san at the karaoke club then.)
<PNAME>;（それじゃ、遊園地で、藤崎さんを待つか。）;(I'll wait for Fujisaki-san at the amusement park then.)
<PNAME>;（それじゃ、遊園地で、藤崎さんを待つか。）;(I'll wait for Fujisaki-san at the amusement park then.)
<PNAME>;（それじゃ、スタジアムで、藤崎さんを待つか。）;(I'll wait for Fujisaki-san at the stadium then.)
<PNAME>;（それじゃ、スタジアムで、藤崎さんを待つか。）;(I'll wait for Fujisaki-san at the stadium then.)
<PNAME>;（それじゃ、映画館で、藤崎さんを待つか。）;(I'll wait for Fujisaki-san at the movie theater then.)
<PNAME>;（それじゃ、映画館で、藤崎さんを待つか。）;(I'll wait for Fujisaki-san at the movie theater then.)
<PNAME>;（それじゃ、コンサート会場で、藤崎さんを待つか。）;(I'll wait for Fujisaki-san at the concert hall then.)
<PNAME>;（それじゃ、コンサート会場で、藤崎さんを待つか。）;(I'll wait for Fujisaki-san at the concert hall then.)
<PNAME>;（それじゃ、プールで、藤崎さんを待つか。）;(I'll wait for Fujisaki-san at the pool then.)
<PNAME>;（それじゃ、プールで、藤崎さんを待つか。）;(I'll wait for Fujisaki-san at the pool then.)
<PNAME>;（それじゃ、スケート場で、藤崎さんを待つか。）;(I'll wait for Fujisaki-san at the skating rink then.)
<PNAME>;（それじゃ、スケート場で、藤崎さんを待つか。）;(I'll wait for Fujisaki-san at the skating rink then.)
<PNAME>;（それじゃ、海で、藤崎さんを待つか。）;(I'll wait for Fujisaki-san at the beach then.)
<PNAME>;（それじゃ、海で、藤崎さんを待つか。）;(I'll wait for Fujisaki-san at the beach then.)
<PNAME>;（それじゃ、スキー場で、藤崎さんを待つか。）;(I'll wait for Fujisaki-san at the ski resort then.)
<PNAME>;（それじゃ、スキー場で、藤崎さんを待つか。）;(I'll wait for Fujisaki-san at the ski resort then.)
<PNAME>;（それじゃ、神社で、藤崎さんを待つか。）;(I'll wait for Fujisaki-san at the shrine then.)
<PNAME>;（それじゃ、神社で、藤崎さんを待つか。）;(I'll wait for Fujisaki-san at the shrine then.)
<PNAME>;（今日は、如月さんとデートだ）;(I have a date with Kisaragi-san today.)
<PNAME>;（今日は、如月さんとデートだ）;(I have a date with Kisaragi-san today.)
<PNAME>;『如月さんのことについて知りたいんだけど。;I'd like to know about Kisaragi-san.
<PNAME>;『よし、次は、如月とだ。;Alright, next is with Kisaragi.
<PNAME>;『しばらく如月さんと話し込んだ;(I talked with Kisaragi-san for a while.)
<PNAME>;『如月さんもいたのか。;Is Kisaragi-san here too?
<PNAME>;『あつ、今日は、如月さんの誕生日じゃないか。;Ah, isn't today Kisaragi-san's birthday?
<PNAME>;（もしかして、如月さんを知らず知らずのうちに傷つけてたのかな⋯。）;(Maybe I've hurt Kisaragi-san without realizing...)
<PNAME>;『今日の自由行動は、この前の約束通り如月さんと―緒だ。;Today, I'll spend my free time with Kisaragi-san, as promised.
<PNAME>;『まだ如月さんは、来ていないようだな。;I see Kisaragi-san hasn't arrived yet.
<PNAME>;（如月さんにプレゼントをもらえるなんて、おれは幸せ者だー！）;(I'm so lucky to get a present from Kisaragi-san!)
<PNAME>;（神様、何とぞ如月さんと今以上に仲良くなれますように。）;(God, please help me get to know Kisaragi-san even better.)
<PNAME>;（おつ、丁度いいところに如月さんが来たぞ。）;(Oh, Kisaragi-san arrived just in time.)
<PNAME>;（あつ、如月さん。）;(Oh, Kisaragi-san.)
<PNAME>;『よし、次は、如月さんとだ;Alright, next is with Kisaragi-san.
<PNAME>;『よし、次は、如月さんとだ。;Alright, next is with Kisaragi-san.
<PNAME>;（如月さんを、傷つけたといううわさが、流れてたそうだ。）;(There's a rumor going around that I hurt Kisaragi-san.)
<PNAME>;（どうやら好雄の話では、俺が如月さんを、傷つけたといううわさが、流れてたそうだ。）;(According to Yoshio, there's a rumor going around that I hurt Kisaragi-san.)
<PNAME>;（それじゃ、近所の公園で、如月さんを待つか。）;(I'll wait for Kisaragi-san at the neighborhood park then.)
<PNAME>;（それじゃ、近所の公園で、如月さんを待つか。）;(I'll wait for Kisaragi-san at the neighborhood park then.)
<PNAME>;（それじゃ、きらめき中央公園で、如月さんを待つか。）;(I'll wait for Kisaragi-san at Kirameki Central Park then.)
<PNAME>;（それじゃ、きらめき中央公園で、如月さんを待つか。）;(I'll wait for Kisaragi-san at Kirameki Central Park then.)
<PNAME>;（それじゃ、ショッピング街で、如月さんを待つか。）;(I'll wait for Kisaragi-san at the shopping district then.)
<PNAME>;（それじゃ、ショッピング街で、如月さんを待つか。）;(I'll wait for Kisaragi-san at the shopping district then.)
<PNAME>;（それじゃ、水族館で、如月さんを待つか。）;(I'll wait for Kisaragi-san at the aquarium then.)
<PNAME>;（それじゃ、水族館で、如月さんを待つか。）;(I'll wait for Kisaragi-san at the aquarium then.)
<PNAME>;（それじゃ、動物園で、如月さんを待つか。）;(I'll wait for Kisaragi-san at the zoo then.)
<PNAME>;（それじゃ、動物園で、如月さんを待つか。）;(I'll wait for Kisaragi-san at the zoo then.)
<PNAME>;（それじゃ、植物園で、如月さんを待つか。）;(I'll wait for Kisaragi-san at the botanical garden then.)
<PNAME>;（それじゃ、植物園で、如月さんを待つか。）;(I'll wait for Kisaragi-san at the botanical garden then.)
<PNAME>;（それじゃ、プラネタリウムで、如月さんを待つか。）;(I'll wait for Kisaragi-san at the planetarium then.)
<PNAME>;（それじゃ、プラネタリウムで、如月さんを待つか。）;(I'll wait for Kisaragi-san at the planetarium then.)
<PNAME>;（それじゃ、美術館で、如月さんを待つか。）;(I'll wait for Kisaragi-san at the art museum then.)
<PNAME>;（それじゃ、美術館で、如月さんを待つか。）;(I'll wait for Kisaragi-san at the art museum then.)
<PNAME>;（それじゃ、図書館で、如月さんを待つか。）;(I'll wait for Kisaragi-san at the library then.)
<PNAME>;（それじゃ、図書館で、如月さんを待つか。）;(I'll wait for Kisaragi-san at the library then.)
<PNAME>;（それじゃ、ゲームセンターで、如月さんを待つか。）;(I'll wait for Kisaragi-san at the arcade then.)
<PNAME>;（それじゃ、ゲームセンターで、如月さんを待つか。）;(I'll wait for Kisaragi-san at the arcade then.)
<PNAME>;（それじゃ、ボーリング場で、如月さんを待つか。）;(I'll wait for Kisaragi-san at the bowling alley then.)
<PNAME>;（それじゃ、ボーリング場で、如月さんを待つか。）;(I'll wait for Kisaragi-san at the bowling alley then.)
<PNAME>;（それじゃ、カラオケ屋で、如月さんを待つか。）;(I'll wait for Kisaragi-san at the karaoke club then.)
<PNAME>;（それじゃ、カラオケ屋で、如月さんを待つか。）;(I'll wait for Kisaragi-san at the karaoke club then.)
<PNAME>;（それじゃ、遊園地で、如月さんを待つか。）;(I'll wait for Kisaragi-san at the amusement park then.)
<PNAME>;（それじゃ、遊園地で、如月さんを待つか。）;(I'll wait for Kisaragi-san at the amusement park then.)
<PNAME>;（それじゃ、スタジアムで、如月さんを待つか。）;(I'll wait for Kisaragi-san at the stadium then.)
<PNAME>;（それじゃ、スタジアムで、如月さんを待つか。）;(I'll wait for Kisaragi-san at the stadium then.)
<PNAME>;（それじゃ、映画館で、如月さんを待つか。）;(I'll wait for Kisaragi-san at the movie theater then.)
<PNAME>;（それじゃ、映画館で、如月さんを待つか。）;(I'll wait for Kisaragi-san at the movie theater then.)
<PNAME>;（それじゃ、コンサート会場で、如月さんを待つか。）;(I'll wait for Kisaragi-san at the concert hall then.)
<PNAME>;（それじゃ、コンサート会場で、如月さんを待つか。）;(I'll wait for Kisaragi-san at the concert hall then.)
<PNAME>;（それじゃ、プールで、如月さんを待つか。）;(I'll wait for Kisaragi-san at the pool then.)
<PNAME>;（それじゃ、プールで、如月さんを待つか。）;(I'll wait for Kisaragi-san at the pool then.)
<PNAME>;（それじゃ、スケート場で、如月さんを待つか。）;(I'll wait for Kisaragi-san at the skating rink then.)
<PNAME>;（それじゃ、スケート場で、如月さんを待つか。）;(I'll wait for Kisaragi-san at the skating rink then.)
<PNAME>;（それじゃ、海で、如月さんを待つか。）;(I'll wait for Kisaragi-san at the beach then.)
<PNAME>;（それじゃ、海で、如月さんを待つか。）;(I'll wait for Kisaragi-san at the beach then.)
<PNAME>;（それじゃ、スキー場で、如月さんを待つか。）;(I'll wait for Kisaragi-san at the ski resort then.)
<PNAME>;（それじゃ、スキー場で、如月さんを待つか。）;(I'll wait for Kisaragi-san at the ski resort then.)
<PNAME>;（それじゃ、神社で、如月さんを待つか。）;(I'll wait for Kisaragi-san at the shrine then.)
<PNAME>;（それじゃ、神社で、如月さんを待つか。）;(I'll wait for Kisaragi-san at the shrine then.)
<PNAME>;（今日は、紐緒さんとデートだ）;(I have a date with Himou-san today.)
<PNAME>;（今日は、紐緒さんとデートだ）;(I have a date with Himou-san today.)
<PNAME>;『紐緒さんのことについて知りたいんだけど。;I'd like to know about Himou-san.
<PNAME>;『よし、次は、紐緒とだ。;Alright, next is with Himou.
<PNAME>;『しばらく紐緒さんと話し込んだ;(I talked with Himou-san for a while.)
<PNAME>;『紐緒さんもいたのか。;Is Himou-san here too?
<PNAME>;『あつ、今日は、紐緒さんの誕生日じゃないか。;Ah, isn't today Himou-san's birthday?
<PNAME>;（もしかして、紐緒さんを知らず知らずのうちに傷つけてたのかな⋯。）;(Maybe I've hurt Himou-san without realizing...)
<PNAME>;『今日の自由行動は、この前の約束通り紐緒さんと―緒だ。;Today, I'll spend my free time with Himou-san, as promised.
<PNAME>;『まだ紐緒さんは、来ていないようだな。;I see Himou-san hasn't arrived yet.
<PNAME>;（紐緒さんにプレゼントをもらえるなんて、おれは幸せ者だー！）;(I'm so lucky to get a present from Himou-san!)
<PNAME>;（神様、何とぞ紐緒さんと今以上に仲良くなれますように。）;(God, please help me get to know Himou-san even better.)
<PNAME>;（おつ、丁度いいところに紐緒さんが来たぞ。）;(Oh, Himou-san arrived just in time.)
<PNAME>;（あつ、紐緒さん。）;(Oh, Himou-san.)
<PNAME>;『よし、次は、紐緒さんとだ;Alright, next is with Himou-san.
